MiB,numfiles,delay,N,fpt,run,seconds
5,15,0,4,1,1,1.4791479110717773
5,15,0,4,1,2,1.4746391773223877
5,15,0,4,1,3,1.4796414375305176
5,15,0,4,1,4,1.4664497375488281
5,15,0,4,1,5,1.4672825336456299
5,15,0,4,3,1,1.4823753833770752
5,15,0,4,3,2,1.4759235382080078
5,15,0,4,3,3,1.470489740371704
5,15,0,4,3,4,1.4812991619110107
5,15,0,4,3,5,1.4746367931365967
5,15,0,8,1,1,1.4913384914398193
5,15,0,8,1,2,1.4749503135681152
5,15,0,8,1,3,1.4689304828643799
5,15,0,8,1,4,1.4722065925598145
5,15,0,8,1,5,1.46673583984375
5,15,0,8,3,1,1.473090648651123
5,15,0,8,3,2,1.5183618068695068
5,15,0,8,3,3,1.4830331802368164
5,15,0,8,3,4,1.480168104171753
5,15,0,8,3,5,1.486438512802124
5,15,50,1,1,1,9.496093511581421
5,15,50,1,1,2,9.493505477905273
5,15,50,1,1,3,9.482375383377075
5,15,50,1,1,4,9.482058763504028
5,15,50,1,1,5,9.498251914978027
5,15,50,1,3,1,9.514696836471558
5,15,50,1,3,2,9.50023865699768
5,15,50,1,3,3,9.490362167358398
5,15,50,1,3,4,9.514359474182129
5,15,50,1,3,5,9.526158332824707
5,15,50,2,1,1,10.508902311325073
5,15,50,2,1,2,10.489211320877075
5,15,50,2,1,3,10.499577045440674
5,15,50,2,1,4,10.52268099784851
5,15,50,2,1,5,10.506558179855347
5,15,50,2,3,1,10.510385513305664
5,15,50,2,3,2,10.517626285552979
5,15,50,2,3,3,10.500014543533325
5,15,50,2,3,4,10.506283283233643
5,15,50,2,3,5,10.505823612213135
5,15,50,3,1,1,11.5149667263031
5,15,50,3,1,2,11.530518531799316
5,15,50,3,1,3,11.508287191390991
5,15,50,3,1,4,11.507974863052368
5,15,50,3,1,5,11.51890516281128
5,15,50,3,3,1,11.532374143600464
5,15,50,3,3,2,11.533085823059082
5,15,50,3,3,3,11.5121750831604
5,15,50,3,3,4,11.51474404335022
5,15,50,3,3,5,11.51192307472229
5,15,50,4,1,1,12.509928226470947
5,15,50,4,1,2,12.506735563278198
5,15,50,4,1,3,12.503621816635132
5,15,50,4,1,4,12.522987365722656
5,15,50,4,1,5,12.519165992736816
5,15,50,4,3,1,12.513805389404297
5,15,50,4,3,2,12.523985385894775
5,15,50,4,3,3,12.510035753250122
5,15,50,4,3,4,12.508047819137573
5,15,50,4,3,5,12.500492572784424
5,15,50,8,1,1,15.517205953598022
5,15,50,8,1,2,15.54228687286377
5,15,50,8,1,3,15.526720762252808
5,15,50,8,1,4,15.504730224609375
5,15,50,8,1,5,15.534473657608032
5,15,50,8,3,1,15.525262117385864
5,15,50,8,3,2,15.521292924880981
5,15,50,8,3,3,15.525681734085083
5,15,50,8,3,4,15.521615266799927
5,15,50,8,3,5,15.511209726333618
5,15,100,1,1,1,17.549887657165527
5,15,100,1,1,2,17.529516220092773
